2022-11-02 11:52:31.923 [58] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 00-00-01-00 | 02-20-01-1C 62-BC-CE-85-ED-7E-00-00-6F-0E-71-01-01-00-00-00-07-00-1E-00-00-02-01-00-01-00-01-00
2022-11-02 11:52:31.923 [58] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 00-00-01-00 | 02-20-01-1C 62-BC-CE-85-ED-7E-00-00-6F-0E-71-01-01-00-00-00-07-00-1E-00-00-02-01-00-01-00-01-00
2022-11-02 11:52:31.980 [90] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 10-00-01-00 | 04-F0-03-3A C3-01-10-00-01-00-00-00-00-00-00-00-00-00-00-00-C3-00-9B-00-16-00-1B-00-1C-00-23-00-29-00-6A-00-00-00-00-00-00-00-00-00-01-01-00-00-00-00-06-01-02-03-04-06-07-05-01-04-05-06-0A-02
2022-11-02 11:52:31.980 [90] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 10-00-01-00 | 04-F0-03-3A C3-01-10-00-01-00-00-00-00-00-00-00-00-00-00-00-C3-00-9B-00-16-00-1B-00-1C-00-23-00-29-00-6A-00-00-00-00-00-00-00-00-00-01-01-00-00-00-00-06-01-02-03-04-06-07-05-01-04-05-06-0A-02
2022-11-02 11:52:31.996 [90] -> 88-31-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 20-00-01-00 | 04-A0-63-BA-00 3A 15-00-50-44-50-2E-58-62-6F-78-2E-44-72-75-6D-73-2E-54-61-62-6C-61-68-27-00-57-69-6E-64-6F-77-73-2E-58-62-6F-78-2E-49-6E-70-75-74-2E-4E-61-76-69-67-61-74-69-6F-6E-43-6F-6E-74
2022-11-02 11:52:31.996 [90] -> 88-31-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 20-00-01-00 | 04-A0-63-BA-00 3A 15-00-50-44-50-2E-58-62-6F-78-2E-44-72-75-6D-73-2E-54-61-62-6C-61-68-27-00-57-69-6E-64-6F-77-73-2E-58-62-6F-78-2E-49-6E-70-75-74-2E-4E-61-76-69-67-61-74-69-6F-6E-43-6F-6E-74
2022-11-02 11:52:31.996 [90] -> 88-11-3C-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 60-45-BD-0F-8B-46 00-00-04-00 | 04-A0-63-BA-00 74 72-6F-6C-6C-65-72-03-B0-F9-03-A5-5E-95-C4-47-A2-ED-B1-33-6F-A7-70-3E-E7-1F-F3-B8-86-73-E9-40-A9-F8-2F-21-26-3A-CF-B7-56-FF-76-97-FD-9B-81-45-AD-45-B6-45-BB-A5-26-D6-01-17-00
2022-11-02 11:52:31.996 [90] -> 88-11-3C-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 60-45-BD-0F-8B-46 00-00-04-00 | 04-A0-63-BA-00 74 72-6F-6C-6C-65-72-03-B0-F9-03-A5-5E-95-C4-47-A2-ED-B1-33-6F-A7-70-3E-E7-1F-F3-B8-86-73-E9-40-A9-F8-2F-21-26-3A-CF-B7-56-FF-76-97-FD-9B-81-45-AD-45-B6-45-BB-A5-26-D6-01-17-00
2022-11-02 11:52:32.004 [53] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 30-00-01-00 | 04-B0-63-15 AE-01 20-0A-00-01-00-14-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
2022-11-02 11:52:32.004 [53] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 30-00-01-00 | 04-B0-63-15 AE-01 20-0A-00-01-00-14-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00
2022-11-02 11:52:32.028 [32] -> 88-11-A0-00 62-45-BD-0F-8B-46 7E-ED-85-CE-BC-62 62-45-BD-0F-8B-46 40-00-01-00 | 04-A0-64-00 C3-01
